	ecDNA_0
cell_651	25
cell_652	70
cell_653	16
cell_654	0
cell_655	33
cell_656	59
cell_657	41
cell_658	27
cell_659	24
cell_660	77
cell_661	22
cell_662	17
cell_663	0
cell_664	0
cell_665	24
cell_666	13
cell_667	40
cell_668	12
cell_669	51
cell_670	10
cell_671	27
cell_672	11
cell_673	50
cell_674	18
cell_675	63
cell_676	19
cell_677	4
cell_678	73
cell_679	34
cell_680	45
cell_681	25
cell_682	45
cell_683	9
cell_684	26
cell_685	11
cell_686	77
cell_687	73
cell_688	0
cell_689	6
cell_690	15
cell_691	17
cell_692	54
cell_693	31
cell_694	20
cell_695	31
cell_696	49
cell_697	13
cell_698	51
cell_699	7
cell_700	1
cell_701	0
cell_702	55
cell_703	10
cell_704	20
cell_705	50
cell_706	71
cell_707	33
cell_708	0
cell_709	65
cell_710	26
cell_711	11
cell_712	40
cell_713	57
cell_714	26
cell_715	42
cell_716	57
cell_717	1
cell_718	87
cell_719	49
cell_720	29
cell_721	53
cell_722	35
cell_723	25
cell_724	57
cell_725	0
cell_726	4
cell_727	3
cell_728	90
cell_729	39
cell_730	72
cell_731	9
cell_732	22
cell_733	28
cell_734	44
cell_735	15
cell_736	23
cell_737	7
cell_738	28
cell_739	22
cell_740	0
cell_741	1
cell_742	39
cell_743	5
cell_744	24
cell_745	21
cell_746	21
cell_747	12
cell_748	30
cell_749	60
cell_750	11
cell_751	25
cell_752	36
cell_753	24
cell_754	5
cell_755	40
cell_756	29
cell_757	27
cell_758	40
cell_759	58
cell_760	20
cell_761	1
cell_762	5
cell_763	10
cell_764	8
cell_765	28
cell_766	33
cell_767	7
cell_768	14
cell_769	79
cell_770	5
cell_771	38
cell_772	89
cell_773	40
cell_774	17
cell_775	1
cell_776	40
cell_777	28
cell_778	11
cell_779	17
cell_780	75
cell_781	24
cell_782	53
cell_783	24
cell_784	29
cell_785	46
cell_786	87
cell_787	63
cell_788	1
cell_789	13
cell_790	8
cell_791	28
cell_792	7
cell_793	18
cell_794	17
cell_795	16
cell_796	2
cell_797	71
cell_798	45
cell_799	51
cell_800	17
cell_801	36
cell_802	11
cell_803	17
cell_804	40
cell_805	49
cell_806	49
cell_807	51
cell_808	29
cell_809	1
cell_810	56
cell_811	14
cell_812	50
cell_813	50
cell_814	44
cell_815	14
cell_816	31
cell_817	51
cell_818	8
cell_819	50
cell_820	24
cell_821	35
cell_822	19
cell_823	8
cell_824	21
cell_825	8
cell_826	8
cell_827	10
cell_828	98
cell_829	51
cell_830	3
cell_831	12
cell_832	54
cell_833	13
cell_834	14
cell_835	53
cell_836	23
cell_837	48
cell_838	15
cell_839	105
cell_840	2
cell_841	30
cell_842	15
cell_843	18
cell_844	14
cell_845	66
cell_846	20
cell_847	48
cell_848	18
cell_849	29
cell_850	25
cell_851	14
cell_852	52
cell_853	11
cell_854	3
cell_855	43
cell_856	0
cell_857	4
cell_858	45
cell_859	30
cell_860	12
cell_861	64
cell_862	59
cell_863	20
cell_864	16
cell_865	27
cell_866	1
cell_867	8
cell_868	43
cell_869	9
cell_870	8
cell_871	53
cell_872	16
cell_873	0
cell_874	42
cell_875	19
cell_876	40
cell_877	44
cell_878	19
cell_879	92
cell_880	34
cell_881	29
cell_882	43
cell_883	25
cell_884	1
cell_885	29
cell_886	15
cell_887	15
cell_888	0
cell_889	19
cell_890	2
cell_891	3
cell_892	6
cell_893	33
cell_894	12
cell_895	6
cell_896	25
cell_897	24
cell_898	27
cell_899	28
cell_900	17
cell_901	3
cell_902	22
cell_903	33
cell_904	34
cell_905	0
cell_906	17
cell_907	45
cell_908	2
cell_909	8
cell_910	8
cell_911	23
cell_912	42
cell_913	18
cell_914	94
cell_915	19
cell_916	11
cell_917	69
cell_918	17
cell_919	55
cell_920	29
cell_921	16
cell_922	2
cell_923	28
cell_924	0
cell_925	44
cell_926	9
cell_927	18
cell_928	82
cell_929	23
cell_930	41
cell_931	49
cell_932	16
cell_933	50
cell_934	26
cell_935	15
cell_936	0
cell_937	34
cell_938	48
cell_939	25
cell_940	25
cell_941	26
cell_942	10
cell_943	6
cell_944	10
cell_945	9
cell_946	64
cell_947	17
cell_948	46
cell_949	34
cell_950	19
cell_951	17
cell_952	58
cell_953	55
cell_954	60
cell_955	11
cell_956	47
cell_957	5
cell_958	22
cell_959	10
cell_960	63
cell_961	21
cell_962	8
cell_963	5
cell_964	17
cell_965	17
cell_966	10
cell_967	24
cell_968	25
cell_969	25
cell_970	31
cell_971	37
cell_972	13
cell_973	36
cell_974	22
cell_975	65
cell_976	16
cell_977	51
cell_978	13
cell_979	49
cell_980	19
cell_981	26
cell_982	51
cell_983	24
cell_984	55
cell_985	15
cell_986	42
cell_987	26
cell_988	7
cell_989	8
cell_990	37
cell_991	15
cell_992	49
cell_993	38
cell_994	34
cell_995	21
cell_996	12
cell_997	42
cell_998	45
cell_999	38
cell_1000	70
cell_1001	40
cell_1002	38
cell_1003	29
cell_1004	16
cell_1005	16
cell_1006	30
cell_1007	28
cell_1008	28
cell_1009	84
cell_1010	95
cell_1011	41
cell_1012	5
cell_1013	25
cell_1014	116
cell_1015	38
cell_1016	26
cell_1017	23
cell_1018	41
cell_1019	0
cell_1020	30
cell_1021	5
cell_1022	54
cell_1023	11
cell_1024	9
cell_1025	0
cell_1026	31
cell_1027	55
cell_1028	30
cell_1029	17
cell_1030	24
cell_1031	54
cell_1032	1
cell_1033	15
cell_1034	26
cell_1035	13
cell_1036	7
cell_1037	69
cell_1038	38
cell_1039	31
cell_1040	33
cell_1041	39
cell_1042	71
cell_1043	27
cell_1044	6
cell_1045	15
cell_1046	61
cell_1047	27
cell_1048	10
cell_1049	23
cell_1050	48
cell_1051	37
cell_1052	28
cell_1053	16
cell_1054	7
cell_1055	33
cell_1056	3
cell_1057	6
cell_1058	51
cell_1059	16
cell_1060	22
cell_1061	25
cell_1062	2
cell_1063	24
cell_1064	14
cell_1065	20
cell_1066	7
cell_1067	5
cell_1068	30
cell_1069	33
cell_1070	30
cell_1071	25
cell_1072	25
cell_1073	5
cell_1074	2
cell_1075	82
cell_1076	16
cell_1077	10
cell_1078	17
cell_1079	40
cell_1080	23
cell_1081	62
cell_1082	23
cell_1083	17
cell_1084	3
cell_1085	6
cell_1086	55
cell_1087	15
cell_1088	35
cell_1089	0
cell_1090	39
cell_1091	13
cell_1092	23
cell_1093	10
cell_1094	28
cell_1095	49
cell_1096	10
cell_1097	28
cell_1098	8
cell_1099	26
cell_1100	8
cell_1101	7
cell_1102	31
cell_1103	29
cell_1104	14
cell_1105	6
cell_1106	18
cell_1107	40
cell_1108	44
cell_1109	17
cell_1110	20
cell_1111	40
cell_1112	12
cell_1113	41
cell_1114	19
cell_1115	33
cell_1116	0
cell_1117	13
cell_1118	11
cell_1119	32
cell_1120	29
cell_1121	61
cell_1122	16
cell_1123	52
cell_1124	14
cell_1125	19
cell_1126	17
cell_1127	6
cell_1128	17
cell_1129	0
cell_1130	64
cell_1131	17
cell_1132	22
cell_1133	38
cell_1134	10
cell_1135	18
cell_1136	45
cell_1137	36
cell_1138	14
cell_1139	39
cell_1140	19
cell_1141	76
cell_1142	34
cell_1143	21
cell_1144	20
cell_1145	77
cell_1146	73
cell_1147	99
cell_1148	22
cell_1149	18
cell_1150	35
cell_1151	66
cell_1152	35
cell_1153	6
cell_1154	61
cell_1155	39
cell_1156	18
cell_1157	36
cell_1158	28
cell_1159	19
cell_1160	25
cell_1161	5
cell_1162	81
cell_1163	61
cell_1164	47
cell_1165	44
cell_1166	86
cell_1167	26
cell_1168	54
cell_1169	0
cell_1170	5
cell_1171	44
cell_1172	94
cell_1173	7
cell_1174	2
cell_1175	1
cell_1176	21
cell_1177	2
cell_1178	13
cell_1179	12
cell_1180	37
cell_1181	34
cell_1182	23
cell_1183	16
cell_1184	68
cell_1185	22
cell_1186	17
cell_1187	21
cell_1188	70
cell_1189	24
cell_1190	14
cell_1191	3
cell_1192	52
cell_1193	11
cell_1194	21
cell_1195	6
cell_1196	18
cell_1197	30
cell_1198	32
cell_1199	49
cell_1200	66
cell_1201	11
cell_1202	45
cell_1203	0
cell_1204	39
cell_1205	20
cell_1206	27
cell_1207	9
cell_1208	25
cell_1209	36
cell_1210	5
cell_1211	15
cell_1212	2
cell_1213	15
cell_1214	16
cell_1215	65
cell_1216	7
cell_1217	16
cell_1218	33
cell_1219	11
cell_1220	27
cell_1221	10
cell_1222	2
cell_1223	3
cell_1224	53
cell_1225	18
cell_1226	19
cell_1227	19
cell_1228	11
cell_1229	0
cell_1230	15
cell_1231	19
cell_1232	10
cell_1233	36
cell_1234	33
cell_1235	8
cell_1236	21
cell_1237	56
cell_1238	28
cell_1239	129
cell_1240	76
cell_1241	83
cell_1242	46
cell_1243	28
cell_1244	53
cell_1245	16
cell_1246	21
cell_1247	31
cell_1248	29
cell_1249	40
cell_1250	16
cell_1251	64
cell_1252	61
cell_1253	10
cell_1254	25
cell_1255	38
cell_1256	2
cell_1257	19
cell_1258	22
cell_1259	49
cell_1260	33
cell_1261	52
cell_1262	22
cell_1263	34
cell_1264	38
cell_1265	97
cell_1266	5
cell_1267	32
cell_1268	45
cell_1269	48
cell_1270	51
cell_1271	9
cell_1272	33
cell_1273	19
cell_1274	28
cell_1275	13
cell_1276	21
cell_1277	39
cell_1278	13
cell_1279	26
cell_1280	48
cell_1281	1
cell_1282	45
cell_1283	64
cell_1284	11
cell_1285	6
cell_1286	57
cell_1287	19
cell_1288	14
cell_1289	6
cell_1290	4
cell_1291	12
cell_1292	18
cell_1293	16
cell_1294	8
cell_1295	6
cell_1296	32
cell_1297	11
cell_1298	6
cell_1299	0
cell_1300	26
cell_1301	3
cell_1302	19
cell_1303	28
cell_1304	16
cell_1305	21
cell_1306	7
cell_1307	47
cell_1308	6
cell_1309	57
cell_1310	83
cell_1311	18
cell_1312	29
cell_1313	29
cell_1314	22
cell_1315	21
cell_1316	22
cell_1317	64
cell_1318	8
cell_1319	1
cell_1320	25
cell_1321	0
cell_1322	78
cell_1323	28
cell_1324	38
cell_1325	28
cell_1326	60
cell_1327	23
cell_1328	51
cell_1329	30
cell_1330	15
cell_1331	5
cell_1332	14
cell_1333	65
cell_1334	40
cell_1335	7
cell_1336	16
cell_1337	42
cell_1338	18
cell_1339	24
cell_1340	22
cell_1341	57
cell_1342	10
cell_1343	34
cell_1344	18
cell_1345	30
cell_1346	4
cell_1347	11
cell_1348	33
cell_1349	20
cell_1350	27
cell_1351	106
cell_1352	4
cell_1353	42
cell_1354	5
cell_1355	34
cell_1356	16
cell_1357	22
cell_1358	12
cell_1359	49
cell_1360	44
cell_1361	37
cell_1362	46
cell_1363	25
cell_1364	15
cell_1365	12
cell_1366	34
cell_1367	16
cell_1368	16
cell_1369	37
cell_1370	57
cell_1371	44
cell_1372	19
cell_1373	75
cell_1374	24
cell_1375	27
cell_1376	28
cell_1377	21
cell_1378	6
cell_1379	12
cell_1380	48
cell_1381	23
cell_1382	17
cell_1383	22
cell_1384	1
cell_1385	9
cell_1386	35
cell_1387	27
cell_1388	17
cell_1389	29
cell_1390	17
cell_1391	21
cell_1392	83
cell_1393	23
cell_1394	21
cell_1395	13
cell_1396	51
cell_1397	13
cell_1398	46
cell_1399	47
cell_1400	35
cell_1401	45
cell_1402	14
cell_1403	29
cell_1404	8
cell_1405	17
cell_1406	47
cell_1407	19
cell_1408	37
cell_1409	29
cell_1410	32
cell_1411	17
cell_1412	7
cell_1413	3
cell_1414	0
cell_1415	7
cell_1416	32
cell_1417	14
cell_1418	43
cell_1419	59
cell_1420	27
cell_1421	11
cell_1422	24
cell_1423	75
cell_1424	32
cell_1425	26
cell_1426	50
cell_1427	10
cell_1428	24
cell_1429	16
cell_1430	6
cell_1431	8
cell_1432	10
cell_1433	16
cell_1434	19
cell_1435	74
cell_1436	8
cell_1437	37
cell_1438	5
cell_1439	31
cell_1440	8
cell_1441	36
cell_1442	29
cell_1443	46
cell_1444	10
cell_1445	26
cell_1446	15
cell_1447	86
cell_1448	33
cell_1449	18
cell_1450	38
cell_1451	4
cell_1452	45
cell_1453	14
cell_1454	38
cell_1455	0
cell_1456	44
cell_1457	0
cell_1458	0
cell_1459	8
cell_1460	45
cell_1461	5
cell_1462	22
cell_1463	3
cell_1464	6
cell_1465	117
cell_1466	7
cell_1467	42
cell_1468	68
cell_1469	28
cell_1470	29
cell_1471	13
cell_1472	2
cell_1473	31
cell_1474	37
cell_1475	31
cell_1476	39
cell_1477	26
cell_1478	11
cell_1479	94
cell_1480	42
cell_1481	13
cell_1482	42
cell_1483	61
cell_1484	33
cell_1485	17
cell_1486	35
cell_1487	45
cell_1488	11
cell_1489	6
cell_1490	23
cell_1491	29
cell_1492	31
cell_1493	42
cell_1494	22
cell_1495	37
cell_1496	7
cell_1497	33
cell_1498	14
cell_1499	19
cell_1500	5
cell_1501	79
cell_1502	61
cell_1503	20
cell_1504	1
cell_1505	0
cell_1506	48
cell_1507	9
cell_1508	16
cell_1509	30
cell_1510	37
cell_1511	27
cell_1512	26
cell_1513	20
cell_1514	30
cell_1515	62
cell_1516	23
cell_1517	5
cell_1518	44
cell_1519	38
cell_1520	4
cell_1521	40
cell_1522	70
cell_1523	91
cell_1524	10
cell_1525	86
cell_1526	88
cell_1527	2
cell_1528	31
cell_1529	6
cell_1530	18
cell_1531	48
cell_1532	60
cell_1533	12
cell_1534	28
cell_1535	50
cell_1536	50
cell_1537	86
cell_1538	70
cell_1539	33
cell_1540	53
cell_1541	0
cell_1542	54
cell_1543	9
cell_1544	23
cell_1545	11
cell_1546	9
cell_1547	8
cell_1548	2
cell_1549	29
cell_1550	21
cell_1551	48
cell_1552	65
cell_1553	5
cell_1554	12
cell_1555	7
cell_1556	7
cell_1557	21
cell_1558	29
cell_1559	60
cell_1560	38
cell_1561	11
cell_1562	26
cell_1563	16
cell_1564	10
cell_1565	0
cell_1566	1
cell_1567	32
cell_1568	14
cell_1569	12
cell_1570	29
cell_1571	60
cell_1572	28
cell_1573	0
cell_1574	10
cell_1575	15
cell_1576	9
cell_1577	29
cell_1578	35
cell_1579	19
cell_1580	55
cell_1581	11
cell_1582	14
cell_1583	39
cell_1584	53
cell_1585	22
cell_1586	29
cell_1587	27
cell_1588	28
cell_1589	21
cell_1590	8
cell_1591	40
cell_1592	73
cell_1593	15
cell_1594	12
cell_1595	33
cell_1596	31
cell_1597	6
cell_1598	4
cell_1599	5
cell_1600	4
cell_1601	19
cell_1602	15
cell_1603	48
cell_1604	32
cell_1605	0
cell_1606	31
cell_1607	0
cell_1608	53
cell_1609	19
cell_1610	23
cell_1611	42
cell_1612	16
cell_1613	20
cell_1614	37
cell_1615	13
cell_1616	14
cell_1617	30
cell_1618	24
cell_1619	6
cell_1620	32
cell_1621	3
cell_1622	30
cell_1623	24
cell_1624	13
cell_1625	59
cell_1626	1
cell_1627	33
cell_1628	57
cell_1629	52
cell_1630	42
cell_1631	45
cell_1632	59
cell_1633	34
cell_1634	1
cell_1635	7
cell_1636	42
cell_1637	53
cell_1638	35
cell_1639	0
cell_1640	4
cell_1641	17
cell_1642	4
cell_1643	49
cell_1644	55
cell_1645	11
cell_1646	32
cell_1647	19
cell_1648	33
cell_1649	55
cell_1650	10
cell_1651	62
cell_1652	31
cell_1653	6
cell_1654	7
cell_1655	40
cell_1656	10
cell_1657	3
cell_1658	0
cell_1659	44
cell_1660	46
cell_1661	25
cell_1662	5
cell_1663	32
cell_1664	21
cell_1665	38
cell_1666	31
cell_1667	13
cell_1668	11
cell_1669	8
cell_1670	17
cell_1671	40
cell_1672	31
cell_1673	129
cell_1674	43
cell_1675	35
cell_1676	5
cell_1677	13
cell_1678	32
cell_1679	1
cell_1680	13
cell_1681	47
cell_1682	92
cell_1683	21
cell_1684	76
cell_1685	13
cell_1686	23
cell_1687	14
cell_1688	28
cell_1689	38
cell_1690	14
cell_1691	47
cell_1692	29
cell_1693	35
cell_1694	49
cell_1695	27
cell_1696	9
cell_1697	22
cell_1698	2
cell_1699	13
cell_1700	5
cell_1701	19
cell_1702	21
cell_1703	12
cell_1704	39
cell_1705	30
cell_1706	0
cell_1707	8
cell_1708	22
cell_1709	34
cell_1710	23
cell_1711	60
cell_1712	31
cell_1713	24
cell_1714	30
cell_1715	27
cell_1716	13
cell_1717	32
cell_1718	25
cell_1719	51
cell_1720	10
cell_1721	49
cell_1722	25
cell_1723	16
cell_1724	19
cell_1725	42
cell_1726	23
cell_1727	0
cell_1728	22
cell_1729	3
cell_1730	12
cell_1731	57
cell_1732	41
cell_1733	36
cell_1734	27
cell_1735	15
cell_1736	30
cell_1737	22
cell_1738	77
cell_1739	8
cell_1740	56
cell_1741	22
cell_1742	63
cell_1743	11
cell_1744	27
cell_1745	18
cell_1746	35
cell_1747	50
cell_1748	14
cell_1749	97
cell_1750	34
cell_1751	6
cell_1752	71
cell_1753	48
cell_1754	19
cell_1755	40
cell_1756	14
cell_1757	0
cell_1758	31
cell_1759	61
cell_1760	18
cell_1761	4
cell_1762	63
cell_1763	27
cell_1764	29
cell_1765	12
cell_1766	53
cell_1767	35
cell_1768	14
cell_1769	30
cell_1770	6
cell_1771	14
cell_1772	2
cell_1773	28
cell_1774	45
cell_1775	28
cell_1776	31
cell_1777	18
cell_1778	25
cell_1779	10
cell_1780	6
cell_1781	33
cell_1782	62
cell_1783	43
cell_1784	23
cell_1785	7
cell_1786	27
cell_1787	4
cell_1788	16
cell_1789	33
cell_1790	33
cell_1791	74
cell_1792	62
cell_1793	23
cell_1794	15
cell_1795	54
cell_1796	7
cell_1797	7
cell_1798	28
cell_1799	18
cell_1800	39
cell_1801	54
cell_1802	7
cell_1803	10
cell_1804	4
cell_1805	42
cell_1806	29
cell_1807	49
cell_1808	46
cell_1809	9
cell_1810	9
cell_1811	48
cell_1812	41
cell_1813	42
cell_1814	70
cell_1815	42
cell_1816	20
cell_1817	18
cell_1818	0
cell_1819	21
cell_1820	20
cell_1821	23
cell_1822	10
cell_1823	49
cell_1824	25
cell_1825	5
cell_1826	1
cell_1827	71
cell_1828	0
cell_1829	30
cell_1830	18
cell_1831	7
cell_1832	21
cell_1833	18
cell_1834	14
cell_1835	49
cell_1836	19
cell_1837	31
cell_1838	50
cell_1839	39
cell_1840	12
cell_1841	21
cell_1842	14
cell_1843	6
cell_1844	38
cell_1845	25
cell_1846	21
cell_1847	53
cell_1848	42
cell_1849	48
cell_1850	40
cell_1851	22
cell_1852	94
cell_1853	5
cell_1854	71
cell_1855	22
cell_1856	58
cell_1857	20
cell_1858	37
cell_1859	17
cell_1860	6
cell_1861	13
cell_1862	31
cell_1863	11
cell_1864	7
cell_1865	38
cell_1866	62
cell_1867	54
cell_1868	30
cell_1869	12
cell_1870	17
cell_1871	105
